ID,Name,ID,Name,IATACountryCode,ICAOCode,City,CityName,IATACode,IATACountryCode,ICAOCode,Latitude,Longitude,TimeZone
arp_enb_au,Eneabba Airport,,,,,,Eneabba,ENB,AU,YEEB,-29.831385,115.24691,Australia/Perth
arp_dnf_ly,Martubah Airport,,,,,,Derna,DNF,LY,,32.541664,22.744839,Africa/Tripoli
arp_rbp_pg,Raba Raba Airport,,,,,,Rabaraba,RBP,PG,,-9.970393,149.83253,Pacific/Port_Moresby
arp_sku_gr,Skyros Island National Airport,,,,,,Skyros,SKU,GR,LGSY,38.96661,24.486124,Europe/Athens
arp_hph_vn,Cat Bi International Airport,,,,,,Haiphong,HPH,VN,VVCI,20.821085,106.725494,Asia/Bangkok
arp_djj_id,Sentani Airport,,,,,,Jayapura,DJJ,ID,WAJJ,-2.575924,140.51549,Asia/Jayapura
arp_ang_fr,Angoulême – Brie – Champniers Airport,,,,,,Angouleme,ANG,FR,LFBU,45.729588,0.219268,Europe/Paris
arp_ruv_gt,Rubelsanto Airport,,,,,,Rubelsanto,RUV,GT,MGRB,15.991989,-90.44593,America/Guatemala
arp_uri_co,Uribe Airport,,,,,,Uribe,URI,CO,SKUB,3.237179,-74.34678,America/Bogota
arp_ari_cl,Chacalluta Airport,,,,,,Arica,ARI,CL,SCAR,-18.348734,-70.336845,America/Santiago
arp_imi_mh,Ine Airport,,,,,,Ine Island,IMI,MH,,6.983333,171.61667,Pacific/Majuro
arp_los_ng,Murtala Muhammed International Airport,,,,,,Lagos,LOS,NG,DNMM,6.578852,3.321151,Africa/Lagos
arp_rja_in,Rajahmundry Airport,,,,,,Rajahmundry,RJA,IN,VORY,17.109783,81.818886,Asia/Kolkata
arp_cad_us,Wexford County Airport,,,,,,Cadillac,CAD,US,KCAD,44.277584,-85.41766,America/Detroit
arp_jkh_gr,Chios Island National Airport,,,,,,Chios,JKH,GR,LGHI,38.344296,26.14157,Europe/Athens
arp_adz_co,Gustavo Rojas Pinilla International Airport,,,,,,Santa Catalina/San Andrés,ADZ,CO,SKSP,12.586463,-81.70267,America/Bogota
arp_itr_br,Itumbiara Airport,,,,,,Itumbiara,ITR,BR,SBIT,-18.44228,-49.213642,America/Sao_Paulo
arp_gts_au,The Granites Airport,,,,,,The Granites,GTS,AU,YTGT,-20.547306,130.34758,Australia/Darwin
arp_ktm_np,Tribhuvan International Airport,,,,,,Kathmandu,KTM,NP,VNKT,27.697344,85.35916,Asia/Kathmandu
arp_mxf_us,Maxwell Air Force Base,cit_mgm_us,Montgomery,US,,,Montgomery,MXF,US,KMXF,32.381653,-86.364716,America/Chicago
arp_nvg_ni,Nueva Guinea Airport,,,,,,Nueva Guinea,NVG,NI,MNNG,11.666667,-84.45,America/Managua
arp_omi_ir,Omidiyeh Airport,,,,,,Omidiyeh,OMI,IR,OIAJ,30.83541,49.536324,Asia/Tehran
arp_rup_in,Rupsi Airport,,,,,,Rupsi,RUP,IN,VERU,26.141842,89.90787,Asia/Kolkata
arp_soe_cg,Souanké Airport,,,,,,Souanke,SOE,CG,FCOS,2.062869,14.132541,Africa/Brazzaville
arp_teq_tr,Tekirdağ Çorlu Airport,,,,,,Çorlu,TEQ,TR,LTBU,41.1366,27.916584,Europe/Istanbul
arp_ckx_us,Chicken Airport,,,,,,Chicken,CKX,US,,64.06886,-141.95152,America/Anchorage
arp_elx_ve,El Tigre Airport,,,,,,El Tigre,ELX,VE,,8.832877,-64.21,America/Caracas
arp_kib_us,Ivanof Bay Seaplane Base,,,,,,Ivanof Bay,KIB,US,,55.897514,-159.48883,America/Anchorage
arp_ylw_ca,Kelowna International Airport,,,,,,Kelowna,YLW,CA,CYLW,49.956512,-119.378365,America/Vancouver
arp_ydb_ca,Burwash Airport,,,,,,Burwash Landing,YDB,CA,CYDB,61.3711,-139.041,America/Vancouver
arp_cbj_do,Cabo Rojo Airport,,,,,,Pedernales,CBJ,DO,MDCR,17.930216,-71.64658,America/Santo_Domingo
arp_mmi_us,McMinn County Airport,,,,,,Athens,MMI,US,KMMI,35.397907,-84.56222,America/New_York
arp_rnl_sb,Rennell/Tingoa Airport,,,,,,Rennell Island,RNL,SB,AGGR,-11.5339,160.063,Pacific/Guadalcanal
arp_axj_jp,Amakusa Airport,,,,,,Amakusa,AXJ,JP,RJDA,32.482536,130.15814,Asia/Tokyo
arp_gpa_gr,Araxos Airport,,,,,,Patras,GPA,GR,LGRX,38.151093,21.425667,Europe/Athens
arp_bqv_us,Bartlett Cove Seaplane Base,cit_gst_us,Gustavus,US,,,Gustavus,BQV,US,,58.455204,-135.88512,America/Juneau
arp_bgx_br,Comandante Gustavo Kraemer Airport,,,,,,Bagé,BGX,BR,SBBG,-31.38978,-54.112206,America/Sao_Paulo
arp_drg_us,Deering Airport,,,,,,Deering,DRG,US,PADE,66.06949,-162.76611,America/Nome
arp_gnn_et,Ghinnir Airport,,,,,,Ginir,GNN,ET,HAGH,7.1327,40.7092,Africa/Addis_Ababa
