Name,IATACode,ID
Aerolineas Argentinas,AR,arl_00009VME7DAch01WpssCcL
Air Wisconsin as United Express,,arl_00009khl3rsLx6wSUxjK0e
Sichuan Airlines,3U,arl_00009VME7DDSWSIAygCT2A
South African Airways,SA,arl_00009VME7DDSWSIAygCT1P
Black Stallion Airways,BZ,arl_00009VME7DEATorL0sX28z
BRAZIL AIR,GB,arl_00009VME7DEATorL0sX28o
Himalayan Airlines,HC,arl_00009VME7DEWSV8v1yhJg2
National Jet Systems as QantasLink,,arl_0000A7OwcPkD3gwTdMbLns
Adam Air,KI,arl_00009VME7DAyfgJ6qz2UA9
Air Glaciers,7T,arl_00009VME7DAch01WpssCbQ
Airlinair,A5,arl_00009VME7DBKeMags5Clhy
Air Wales,6G,arl_00009VME7DAyfgJ6qz2U9b
Pakistan International Airlines,PK,arl_00009VME7DD6Xm0axa2BTj
PSA Airlines as American Eagle,,arl_00009khkwNaa9v1gXTqZtI
Santa Barbara Airlines,S3,arl_00009VME7DDSWSIAygCT2Q
Uganda Airlines,UR,arl_00009VME7DBKeMags5Cl17
12 North,12,arl_00009VME7DEWSV8v1yhJgK
Air Greenland,GL,arl_00009VME7DAyfgJ6qz2UAV
Air Italy,I9,arl_00009VME7DAch01WpssCbC
Envoy Air as American Eagle,,arl_00009khkyWFEwpyrxnsuae
Volga-Dnepr,VI,arl_00009VME7DDoV8ZkzmMkad
British Mediterranean Airways,KJ,arl_00009VME7DBKeMags5Clj1
Eurocypria Airlines,UI,arl_00009VME7DC2bj9quHXKoa
Golden Air,DC,arl_00009VME7DC2bj9quHXKpX
Mesaba Airlines,XJ,arl_00009VME7DCkZ5j0wTrtvn
Helijet,JB,arl_00009VME7DCOaPRQvNhcMf
LionXpress,C4,arl_00009VME7DEATorL0sX28u
Nordic Global Airlines,NJ,arl_00009VME7DEWSV8v1yhJgV
Norwegian Air Shuttle,DY,arl_00009VME7DD6Xm0axa2BTB
Ada Air,ZY,arl_00009VME7DAGiJjwomhv3F
Bearskin Airlines,JV,arl_00009VME7DBKeMags5Clie
Continental Airlines,CO,arl_00009VME7DBgd2sGtBN3Gu
Darwin Airline,0D,arl_00009VME7DBgd2sGtBN3HD
Solomon Airlines,IE,arl_00009VME7DDSWSIAygCT2b
Volaris El Salvador,N3,arl_0000A8W8ZZKlYN1vrcLS2y
Orenburg Airlines,R2,arl_00009VME7DD6Xm0axa2BTQ
Republic Airways,YX,arl_0000A84OGJS6U5gPdN8UCG
Copa Airlines Colombia,P5,arl_00009VME7DBKeMags5Cli3
Hahn Air,HR,arl_00009VME7DCOaPRQvNhcMV
Jetstar Asia,3K,arl_00009VME7DCOaPRQvNhcNV
Nordic Regional Airlines,N7,arl_00009v2Pz5jzTEQmgQOupc
Spring Airlines,9S,arl_00009VME7DDSWSIAygCT29
TUIfly Nordic,6B,arl_00009VME7DDoV8ZkzmMkaC
Aerocondor,2B,arl_00009VME7DAch01WpssCcJ
Atlas Blue,8A,arl_00009VME7DAch01WpssCbS
Orient Thai Airlines,OX,arl_00009VME7DD6Xm0axa2BTR
S7 Airlines,S7,arl_00009VME7DDSWSIAygCT1T
Spirit of Manila Airlines,SM,arl_00009VME7DEATorL0sX28i
1Time Airline,1T,arl_00009VME7DAGiJjwomhv2w
Buraq Air,UZ,arl_00009VME7DC2bj9quHXKoP
Jet Airways,9W,arl_00009VME7DCOaPRQvNhcNU
Siem Reap Airways,FT,arl_00009VME7DDSWSIAygCT1l
Nationwide Airlines,CE,arl_00009VME7DCkZ5j0wTrtw7
Air China,CA,arl_00009VME7DAyfgJ6qz2UA0
